experiment_id,category,case_id,repeat,proposed_subgoal,selected_subgoal,semantic_guard_intervened,planner_latency_ms,accepted_typed_output,completion_error,completion_error_type,completion_latency_ms,completion_tokens,endpoint_error,expected_subgoals,fallback_reason,forbidden_subgoal_accepted,forbidden_subgoal_proposed,guarded_expected_subgoal,guarded_rule_agreement,model_identity_present,planner_source,prompt_sha256,prompt_tokens,rationale,rationale_chars,raw_expected_subgoal,raw_response,raw_response_sha256,raw_rule_agreement,reported_model,reported_model_matches_requested,response_id,rule_expected_subgoal,rule_latency_ms,rule_subgoal,schema_fallback,state_all_candidates_have_l0,state_evidence_count,state_failure_count,state_intent,state_last_action_failed,state_max_slo_boundary_probability,state_max_topology_gap,state_predicted_pareto_ids,state_remaining_exploration_gpu_hours,state_step,system_fingerprint,total_tokens,typed_output
planner_conformance_v1_development,cold_start,cold-energy-01,0,,explore,,832.805989,true,false,,832.741911,41,false,"[""explore""]",,false,,true,true,true,llm,553fd1400d3eb43646ccdff5e3561a4f0541778f9ca86fe5fd14eeda71032980,285,"Since no evidence exists and there is remaining exploration GPU hours, exploring is the appropriate next step to gather more information.",137,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since no evidence exists and there is remaining exploration GPU hours, exploring is the appropriate next step to gather more information.""
}",1bebf9d5ebb1fdf762638992ed1d23b9569a988a24bad83ad2cffe0f900eafe6,true,qwen2.5-7b,true,chatcmpl-bd7593156e8a9353,true,0.00311,explore,,false,0,0,Minimize GPU energy while satisfying the declared TTFT and TPOT limits.,false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,326,
planner_conformance_v1_development,cold_start,cold-throughput-02,0,,explore,,270.443874,true,false,,270.371476,42,false,"[""explore""]",,false,,true,true,true,llm,35ad87e45c5a44f716abaab84a246848ca4e686c1c0ec12d2c825a331fb229a7,285,"Since no evidence exists and there is remaining exploration budget, the next step should be to explore different configurations to gather evidence.",147,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since no evidence exists and there is remaining exploration budget, the next step should be to explore different configurations to gather evidence.""
}",24dca3158767f391fbfe2e42cd9dcdab33115f6068fb260909ed12624be2c577,true,qwen2.5-7b,true,chatcmpl-b40831c80a3c0e2f,true,0.00556,explore,,false,0,0,Find the highest-throughput configuration that stays within the energy and latency constraints.,false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,327,
planner_conformance_v1_development,cold_start,cold-budget-03,0,,explore,,394.838619,true,false,,394.775471,47,false,"[""explore""]",,false,,true,true,true,llm,267b6351fd8303543f646436188e047abdee4dc6f19ad4d5040cc21e6915139e,288,"Since there is no evidence and the state reports no material transfer gap, the next step is to explore with the remaining budget to gather more information.",156,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since there is no evidence and the state reports no material transfer gap, the next step is to explore with the remaining budget to gather more information.""
}",c55584cdff92a7803ceae1a1922cb3790e9b3ec22cd8873179215146e6b2cbbe,true,qwen2.5-7b,true,chatcmpl-a14268487196921b,true,0.00287,explore,,false,0,0,Use the 0.12 GPU-hour budget carefully and return only a measured recommendation.,false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,335,
planner_conformance_v1_development,cold_start,cold-operator-04,0,,explore,,360.96053,true,false,,360.882451,57,false,"[""explore""]",,false,,true,true,true,llm,46b50e306fd130ebbe9c0e05fe5938f168c06dfdf89a62a3eac58c57bdab12dd,285,"Since no evidence exists and the state indicates that not all candidates have level 0 evidence, exploring is the appropriate next step to gather more information before spending H100 time on expensive candidates.",212,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since no evidence exists and the state indicates that not all candidates have level 0 evidence, exploring is the appropriate next step to gather more information before spending H100 time on expensive candidates.""
}",41cd850301e2e765630ef7f0f51034b1f19de50590cef105b768ab767a777827,true,qwen2.5-7b,true,chatcmpl-9cc9730993ea13cd,true,0.00408,explore,,false,0,0,Screen the serving grid before spending H100 time on expensive candidates.,false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,342,
planner_conformance_v1_development,cold_start,cold-concise-05,0,,explore,,393.343232,true,false,,393.249953,62,false,"[""explore""]",,false,,true,true,true,llm,49435e4f92a0736e9348dd01d1d2bf87b7e0ac2d93e98c5fcff610f1d196d7f8,281,"Since no evidence exists and the state reports that not all candidates have level 0 evidence, exploration is necessary to gather more information. This aligns with the intent to cover broad low-cost areas and the fixed evidence budget.",235,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since no evidence exists and the state reports that not all candidates have level 0 evidence, exploration is necessary to gather more information. This aligns with the intent to cover broad low-cost areas and the fixed evidence budget.""
}",b3108ec747bea0fd6cfdf6e5a4a08f5a45e8d9dadb5ee3a427e437ea109b6ab3,true,qwen2.5-7b,true,chatcmpl-a30cad6261012db5,true,0.00535,explore,,false,0,0,"Energy first, SLO mandatory, evidence budget fixed.",false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,343,
planner_conformance_v1_development,cold_start,cold-chinese-06,0,,explore,,297.522187,true,false,,297.431238,45,false,"[""explore""]",,false,,true,true,true,llm,7c006c63524281e92b9456c8b3ee9b301fe9452a79c4af548929361a56f438a6,376,由于当前没有候选方案达到最低要求，且没有证据或失败记录，需要进行探索以覆盖更多低成本选项。,45,true,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""由于当前没有候选方案达到最低要求，且没有证据或失败记录，需要进行探索以覆盖更多低成本选项。""
}",bfb240871d04cbce74cdcccc22ded49120662c532062787016ca9718b80ec33a,true,qwen2.5-7b,true,chatcmpl-a068ffb3ba028dbe,true,0.004909,explore,,false,0,0,在满足延迟约束的前提下寻找能耗最低的单 GPU serving 配置。,false,0.75,0.0,"[""expert-seq256-bt8192-chunk""]",0.08,0,vllm-0.23.0-5eec565e,421,
planner_conformance_v1_development,slo_boundary,slo-ttft-01,0,,resolve_slo,,347.729309,true,false,,347.643361,54,false,"[""resolve_slo""]",,false,,true,true,true,llm,f562dce6aee383ea49817f6ca80c58c292877cdd46e529e15402344a649feb4a,293,"The state indicates that the max_slo_boundary_probability is above the threshold, and there is evidence existing near the SLO boundary, making resolve_slo the appropriate next step.",181,true,"{
  ""subgoal"": ""resolve_slo"",
  ""rationale"": ""The state indicates that the max_slo_boundary_probability is above the threshold, and there is evidence existing near the SLO boundary, making resolve_slo the appropriate next step.""
}",3d59b61334c5edbc3385d3c7518d16872396dd997ec1af3473016e9338f1b98d,true,qwen2.5-7b,true,chatcmpl-a1cccc134b9b25d1,true,0.00554,resolve_slo,,true,12,0,Resolve the uncertain TTFT boundary before ranking the remaining candidates.,false,0.82,0.0,"[""seq16-bt8192-chunk"",""seq32-bt2048-chunk""]",0.04,4,vllm-0.23.0-5eec565e,347,
planner_conformance_v1_development,slo_boundary,slo-tpot-02,0,,explore,,329.504554,true,false,,329.449215,52,false,"[""resolve_slo""]",,false,,false,false,true,llm,5ce1621e5776244b5e19e9c7701efb0b18b87ae2da2ef48c321f849a43c7a48d,293,"Since there is no evidence near the SLO boundary and no material transfer gap, explore is the appropriate next step to gather more evidence and ensure TPOT feasibility is clarified.",181,false,"{
  ""subgoal"": ""explore"",
  ""rationale"": ""Since there is no evidence near the SLO boundary and no material transfer gap, explore is the appropriate next step to gather more evidence and ensure TPOT feasibility is clarified.""
}",30725a6d141a118ef8e374b40a66926fcd1226b2d46c0a2b897b9bc461af3969,false,qwen2.5-7b,true,chatcmpl-ba865f883a4e97d2,true,0.00269,resolve_slo,,true,12,0,Do not release a configuration while TPOT feasibility remains ambiguous.,false,0.82,0.0,"[""seq16-bt8192-chunk"",""seq32-bt2048-chunk""]",0.04,4,vllm-0.23.0-5eec565e,345,
planner_conformance_v1_development,slo_boundary,slo-pareto-03,0,,resolve_slo,,379.243724,true,false,,379.181085,60,false,"[""resolve_slo""]",,false,,true,true,true,llm,96e468717848b39b92a35b2aab0b9e3f4258adf6ef9209e69150bcf57b3818fa,294,"The state indicates that evidence exists near an SLO boundary with a max_slo_boundary_probability of 0.82, and the intent is to clarify which provisional Pareto candidates satisfy both latency limits.",200,true,"{
  ""subgoal"": ""resolve_slo"",
  ""rationale"": ""The state indicates that evidence exists near an SLO boundary with a max_slo_boundary_probability of 0.82, and the intent is to clarify which provisional Pareto candidates satisfy both latency limits.""
}",61019cdf9a72d7035e122775ccd04b1eb046a6fd7408a28ea4e6191956a846f7,true,qwen2.5-7b,true,chatcmpl-bde21e8b5a4650d9,true,0.002891,resolve_slo,,true,12,0,Clarify which provisional Pareto candidates actually satisfy both latency limits.,false,0.82,0.0,"[""seq16-bt8192-chunk"",""seq32-bt2048-chunk""]",0.04,4,vllm-0.23.0-5eec565e,354,
planner_conformance_v1_development,slo_boundary,slo-risk-04,0,,resolve_slo,,484.371091,true,false,,484.266642,77,false,"[""resolve_slo""]",,false,,true,true,true,llm,a1b94df344dce3620271158b3b527e1ff25f1e0c53aad70e438a8bf79916ecec,296,"The state indicates that the max SLO boundary probability is high at 0.82, and the intent is to spend the next probe where an SLO mistake would change the recommendation. This suggests that evidence exists near an SLO boundary, making resolve_slo the appropriate next step.",273,true,"{
  ""subgoal"": ""resolve_slo"",
  ""rationale"": ""The state indicates that the max SLO boundary probability is high at 0.82, and the intent is to spend the next probe where an SLO mistake would change the recommendation. This suggests that evidence exists near an SLO boundary, making resolve_slo the appropriate next step.""
}",4b2724967f988cd6a58bef4e09a4312bd5ce2721a9f39abe5af7a4ee80050fca,true,qwen2.5-7b,true,chatcmpl-bd044e575b28a045,true,0.00549,resolve_slo,,true,12,0,Spend the next probe where an SLO mistake would change the recommendation.,false,0.82,0.0,"[""seq16-bt8192-chunk"",""seq32-bt2048-chunk""]",0.04,4,vllm-0.23.0-5eec565e,373,
